,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry
0,MMM,176.5500030517578,175.8300018310547,3M,Industrials,Industrial Conglomerates
1,ABT,132.4199981689453,86.80000305175781,Abbott Laboratories,Health Care,Health Care Equipment
2,ABBV,121.51000213623047,88.5199966430664,AbbVie,Health Care,Pharmaceuticals
3,ABMD,320.7799987792969,167.2899932861328,Abiomed,Health Care,Health Care Equipment
4,ACN,371.3399963378906,210.63999938964844,Accenture,Information Technology,IT Consulting & Other Services
5,ATVI,58.77000045776367,58.880001068115234,Activision Blizzard,Communication Services,Interactive Home Entertainment
6,ADBE,649.9600219726562,328.3399963378906,Adobe,Information Technology,Application Software
7,AMD,144.85000610351562,45.52000045776367,Advanced Micro Devices,Information Technology,Semiconductors
8,AAP,234.9499969482422,159.1199951171875,Advance Auto Parts,Consumer Discretionary,Automotive Retail
9,AES,24.81999969482422,20.040000915527344,AES Corp,Utilities,Independent Power Producers & Energy Traders
10,AFL,56.709999084472656,52.7400016784668,Aflac,Financials,Life & Health Insurance
11,A,153.8000030517578,84.9000015258789,Agilent Technologies,Health Care,Health Care Equipment
12,APD,295.92999267578125,235.3300018310547,Air Products & Chemicals,Materials,Industrial Gases
13,AKAM,112.2699966430664,85.87999725341797,Akamai Technologies,Information Technology,Internet Services & Infrastructure
14,ALK,50.349998474121094,67.68000030517578,Alaska Air Group,Industrials,Airlines
15,ALB,259.5299987792969,71.93000030517578,Albemarle Corporation,Materials,Specialty Chemicals
16,ARE,210.72000122070312,159.6699981689453,Alexandria Real Estate Equities,Real Estate,Office REITs
17,ALGN,666.719970703125,275.6300048828125,Align Technology,Health Care,Health Care Supplies
18,ALLE,131.74000549316406,124.12000274658203,Allegion,Industrials,Building Products
19,LNT,58.33000183105469,54.380001068115234,Alliant Energy,Utilities,Electric Utilities
20,ALL,110.23999786376953,111.7699966430664,Allstate Corp,Financials,Property & Casualty Insurance
21,GOOGL,2945.389892578125,1339.7099609375,Alphabet (Class A),Communication Services,Interactive Media & Services
22,GOOG,2960.72998046875,1336.1400146484375,Alphabet (Class C),Communication Services,Interactive Media & Services
23,MO,44.4900016784668,49.88999938964844,Altria Group,Consumer Staples,Tobacco
24,AMZN,3523.2900390625,1846.8900146484375,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail
25,AMCR,11.59000015258789,10.850000381469727,Amcor,Materials,Paper Packaging
26,AEE,86.52999877929688,76.55999755859375,Ameren Corp,Utilities,Multi-Utilities
27,AAL,17.889999389648438,28.299999237060547,American Airlines Group,Industrials,Airlines
28,AEP,83.91000366210938,94.02999877929688,American Electric Power,Utilities,Electric Utilities
29,AXP,166.9499969482422,124.30000305175781,American Express,Financials,Consumer Finance
30,AIG,55.189998626708984,51.0,American International Group,Financials,Property & Casualty Insurance
31,AMT,276.80999755859375,228.85000610351562,American Tower,Real Estate,Specialized REITs
32,AWK,176.52000427246094,123.05000305175781,American Water Works,Utilities,Water Utilities
33,AMP,301.5799865722656,166.07000732421875,Ameriprise Financial,Financials,Asset Management & Custody Banks
34,ABC,119.5199966430664,83.63999938964844,AmerisourceBergen,Health Care,Health Care Distributors
35,AME,140.39999389648438,99.93000030517578,Ametek,Industrials,Electrical Components & Equipment
36,AMGN,211.32000732421875,240.27000427246094,Amgen,Health Care,Biotechnology
37,APH,83.8499984741211,54.13999938964844,Amphenol,Information Technology,Electronic Components
38,ADI,186.63999938964844,118.86000061035156,Analog Devices,Information Technology,Semiconductors
39,ANSS,403.6000061035156,256.79998779296875,Ansys,Information Technology,Application Software
40,ANTM,411.239990234375,305.30999755859375,Anthem,Health Care,Managed Health Care
41,AON,300.7099914550781,207.63999938964844,Aon,Financials,Insurance Brokers
42,AOS,82.88999938964844,47.56999969482422,A. O. Smith,Industrials,Building Products
43,APA,26.889999389648438,25.5,APA Corporation,Energy,Oil & Gas Exploration & Production
44,AAPL,171.17999267578125,72.87999725341797,Apple,Information Technology,"Technology Hardware, Storage & Peripherals"
