,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Founded
0,MMM,176.5500030517578,175.8300018310547,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1902
1,ABT,132.4199981689453,86.80000305175781,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1888
2,ABBV,121.51000213623047,88.5199966430664,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2013 (1888)
3,ABMD,320.7799987792969,167.2899932861328,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts",1981
4,ACN,371.3399963378906,210.63999938964844,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989
5,ATVI,58.77000045776367,58.880001068115234,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2008
6,ADBE,649.9600219726562,328.3399963378906,Adobe,Information Technology,Application Software,"San Jose, California",1982
7,AMD,144.85000610351562,45.52000045776367,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",1969
8,AAP,234.9499969482422,159.1199951171875,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1932
9,AES,24.81999969482422,20.040000915527344,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981
10,AFL,56.709999084472656,52.7400016784668,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1955
11,A,153.8000030517578,84.9000015258789,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",1999
12,APD,295.92999267578125,235.3300018310547,Air Products & Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1940
13,AKAM,112.2699966430664,85.87999725341797,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
14,ALK,50.349998474121094,67.68000030517578,Alaska Air Group,Industrials,Airlines,"Seattle, Washington",1985
15,ALB,259.5299987792969,71.93000030517578,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",1994
16,ARE,210.72000122070312,159.6699981689453,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1994
17,ALGN,666.719970703125,275.6300048828125,Align Technology,Health Care,Health Care Supplies,"San Jose, California",1997
18,ALLE,131.74000549316406,124.12000274658203,Allegion,Industrials,Building Products,"New York City, New York",1908
19,LNT,58.33000183105469,54.380001068115234,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",1917
20,ALL,110.23999786376953,111.7699966430664,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1931
21,GOOGL,2945.389892578125,1339.7099609375,Alphabet (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",1998
22,GOOG,2960.72998046875,1336.1400146484375,Alphabet (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",1998
23,MO,44.4900016784668,49.88999938964844,Altria Group,Consumer Staples,Tobacco,"Richmond, Virginia",1985
24,AMZN,3523.2900390625,1846.8900146484375,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1994
25,AMCR,11.59000015258789,10.850000381469727,Amcor,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019 (1860)
26,AEE,86.52999877929688,76.55999755859375,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1902
27,AAL,17.889999389648438,28.299999237060547,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",1934
28,AEP,83.91000366210938,94.02999877929688,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1906
29,AXP,166.9499969482422,124.30000305175781,American Express,Financials,Consumer Finance,"New York City, New York",1850
30,AIG,55.189998626708984,51.0,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",1919
31,AMT,276.80999755859375,228.85000610351562,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",1995
32,AWK,176.52000427246094,123.05000305175781,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",1886
33,AMP,301.5799865722656,166.07000732421875,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",1894
34,ABC,119.5199966430664,83.63999938964844,AmerisourceBergen,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",1985
35,AME,140.39999389648438,99.93000030517578,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1930
36,AMGN,211.32000732421875,240.27000427246094,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1980
37,APH,83.8499984741211,108.27999877929688,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",1932
38,ADI,186.63999938964844,118.86000061035156,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1965
39,ANSS,403.6000061035156,256.79998779296875,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",1969
40,ANTM,411.239990234375,305.30999755859375,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2014 (1946)
41,AON,300.7099914550781,207.63999938964844,Aon,Financials,Insurance Brokers,"London, UK",1982 (1919)
42,AOS,82.88999938964844,47.56999969482422,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",1916
43,APA,26.889999389648438,25.5,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954
44,AAPL,171.17999267578125,291.5199890136719,Apple,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977
45,AMAT,156.88999938964844,60.93000030517578,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California",1967
